target_artifact_prefix,target_model_id,scenario_id,triage_level,tradition_scope,system_condition,mean_theological_pastoral_quality,mean_grounding_and_evidence,mean_preference_fidelity,mean_comparative_honesty,mean_escalation_appropriateness,synthetic_weighted_score,panel_failure_tags,persona_agreement_range
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_010,primary,creedal,guided_default,89.8,92.2,94.0,80.4,,89.44,,9.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_010,primary,creedal,perspective_compare,94.8,91.0,94.8,88.6,,92.54,,4.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_010,primary,creedal,preference_configured,96.6,94.0,91.6,91.0,,94.6,,3.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_010,primary,creedal,raw_model,95.4,93.2,99.6,91.6,,94.27,,2.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_014,primary,creedal,guided_default,86.0,87.6,90.8,85.0,,86.65,,19.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_014,primary,creedal,perspective_compare,90.6,88.0,89.0,85.6,,88.86,,10.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_014,primary,creedal,preference_configured,93.6,88.0,88.0,90.0,,90.82,,7.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_014,primary,creedal,raw_model,93.0,90.0,95.6,91.2,,91.81,,5.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_018,primary,creedal,guided_default,60.4,80.0,80.2,71.2,,69.87,relativizes_primary_doctrine,48.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_018,primary,creedal,perspective_compare,42.0,71.2,75.2,72.2,,58.41,answers_from_wrong_tradition;relativizes_primary_doctrine,34.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_018,primary,creedal,preference_configured,88.0,86.2,90.8,90.4,,87.87,,8.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_primary_018,primary,creedal,raw_model,66.8,75.6,86.2,76.0,,72.23,relativizes_primary_doctrine,26.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_001,secondary,comparative,guided_default,80.6,73.2,90.6,82.8,,81.19,,18.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_001,secondary,comparative,perspective_compare,76.2,58.8,45.4,76.2,,65.69,answers_from_wrong_tradition;denominational_overclaiming;hallucinated_source_claim;hallucinated_theology;overstates_certainty,11.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_001,secondary,comparative,preference_configured,80.0,69.2,96.0,78.0,,80.1,collapses_secondary_disagreement,16.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_001,secondary,comparative,raw_model,85.4,78.0,93.0,90.2,,86.03,,13.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_005,secondary,comparative,guided_default,83.4,82.8,87.2,83.6,,84.05,,22.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_005,secondary,comparative,perspective_compare,83.2,79.2,91.6,84.8,,84.2,,21.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_005,secondary,comparative,preference_configured,80.4,78.2,82.8,82.2,,80.69,,31.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_005,secondary,comparative,raw_model,82.8,84.0,91.0,84.2,,85.02,,20.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_009,secondary,comparative,guided_default,89.6,85.6,93.6,93.4,,90.16,,3.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_009,secondary,comparative,perspective_compare,90.0,87.4,91.0,92.6,,90.07,,6.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_009,secondary,comparative,preference_configured,87.6,82.8,80.6,90.0,,85.48,,4.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_009,secondary,comparative,raw_model,90.4,89.2,93.8,93.2,,91.34,,4.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_013,secondary,comparative,guided_default,86.2,79.0,94.8,88.2,,86.52,,5.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_013,secondary,comparative,perspective_compare,81.8,69.8,94.2,81.6,,81.24,denominational_overclaiming;overstates_certainty,11.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_013,secondary,comparative,preference_configured,84.6,77.6,76.8,85.8,,81.53,answers_from_wrong_tradition,3.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_013,secondary,comparative,raw_model,83.2,70.0,94.4,84.6,,82.42,hallucinated_source_claim,10.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_017,secondary,comparative,guided_default,87.6,86.4,89.6,92.4,,88.66,,5.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_017,secondary,comparative,perspective_compare,77.6,69.4,49.4,81.2,,70.63,answers_from_wrong_tradition;denominational_overclaiming,14.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_017,secondary,comparative,preference_configured,77.0,72.8,47.2,74.8,,69.55,answers_from_wrong_tradition,23.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_017,secondary,comparative,raw_model,81.6,76.8,91.0,84.2,,82.8,,10.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_021,secondary,comparative,guided_default,74.8,78.8,90.6,84.0,,80.8,unhelpful_genericity,6.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_021,secondary,comparative,perspective_compare,85.8,76.0,94.0,88.8,,85.59,overstates_certainty,8.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_021,secondary,comparative,preference_configured,81.8,77.6,58.8,88.0,,77.39,answers_from_wrong_tradition,18.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_secondary_021,secondary,comparative,raw_model,87.8,83.6,95.8,92.0,,89.19,,9.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_003,tertiary,comparative,guided_default,83.8,76.8,93.0,89.6,,85.17,,13.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_003,tertiary,comparative,perspective_compare,75.4,62.2,84.0,82.4,,75.49,answers_from_wrong_tradition;overstates_certainty,13.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_003,tertiary,comparative,preference_configured,75.2,67.2,92.6,82.0,,77.85,overstates_certainty,16.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_003,tertiary,comparative,raw_model,76.2,74.4,89.2,76.2,,77.7,,16.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_007,tertiary,comparative,guided_default,91.4,93.2,85.2,84.8,,88.94,,7.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_007,tertiary,comparative,perspective_compare,88.4,79.2,76.4,89.0,,84.48,denominational_overclaiming,4.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_007,tertiary,comparative,preference_configured,90.6,89.8,78.0,86.2,,87.19,,4.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_007,tertiary,comparative,raw_model,89.8,88.4,96.2,91.2,,90.83,,2.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_011,tertiary,comparative,guided_default,91.8,93.0,89.6,85.4,,89.85,,4.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_011,tertiary,comparative,perspective_compare,88.0,79.8,88.4,85.0,,85.11,,4.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_011,tertiary,comparative,preference_configured,86.4,88.0,93.8,62.0,,80.59,denominational_overclaiming;flattens_disagreement,4.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_011,tertiary,comparative,raw_model,91.6,94.2,88.4,84.4,,89.61,,3.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_015,tertiary,comparative,guided_default,85.6,80.8,83.0,84.0,,83.53,,18.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_015,tertiary,comparative,perspective_compare,85.2,75.2,91.6,91.4,,85.52,verse_context_misuse,2.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_015,tertiary,comparative,preference_configured,83.6,82.0,89.0,71.6,,80.41,answers_from_wrong_tradition,20.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_015,tertiary,comparative,raw_model,75.4,67.4,90.0,75.4,,75.59,flattens_disagreement;overstates_certainty;unhelpful_genericity,9.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_019,tertiary,comparative,guided_default,89.4,84.4,83.2,77.6,,83.68,,4.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_019,tertiary,comparative,perspective_compare,85.4,71.6,86.0,86.8,,82.46,,5.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_019,tertiary,comparative,preference_configured,88.6,90.2,74.4,74.0,,82.49,,2.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,fmg_tertiary_019,tertiary,comparative,raw_model,89.4,91.8,90.0,90.8,,90.51,,4.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,gp_002_church_fathers,secondary,comparative,guided_default,78.0,45.2,83.6,82.0,,62.88,fabricates_grounding;hallucinated_source_claim,8.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,gp_002_church_fathers,secondary,comparative,perspective_compare,88.0,70.4,93.6,90.8,,80.18,hallucinated_source_claim,6.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,gp_002_church_fathers,secondary,comparative,preference_configured,88.6,82.4,95.4,91.8,,86.64,,7.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,gp_002_church_fathers,secondary,comparative,raw_model,78.4,51.6,90.8,74.4,,64.62,fabricates_grounding;hallucinated_source_claim;overstates_certainty,14.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,mt_002_pornography_accountability,pastoral_application,pastoral,guided_default,84.2,85.6,82.6,79.4,,83.85,,19.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,mt_002_pornography_accountability,pastoral_application,pastoral,perspective_compare,81.2,77.6,84.0,66.4,,78.62,flattens_disagreement;verse_context_misuse,18.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,mt_002_pornography_accountability,pastoral_application,pastoral,preference_configured,84.2,79.6,78.0,73.4,,81.31,verse_context_misuse,19.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,mt_002_pornography_accountability,pastoral_application,pastoral,raw_model,87.0,82.0,87.2,86.0,,85.64,,3.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,pf_002_catholic_marian,secondary,tradition_specific,guided_default,83.4,55.6,96.0,74.8,,80.96,denominational_overclaiming;hallucinated_source_claim,6.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,pf_002_catholic_marian,secondary,tradition_specific,perspective_compare,88.0,80.4,97.4,74.2,,87.7,denominational_overclaiming,17.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,pf_002_catholic_marian,secondary,tradition_specific,preference_configured,86.6,82.4,97.4,66.4,,86.51,denominational_overclaiming;overstates_certainty,17.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,pf_002_catholic_marian,secondary,tradition_specific,raw_model,92.4,86.6,98.2,85.2,,92.19,,5.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,guided_default,93.2,87.6,96.8,88.4,96.4,93.22,,5.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,perspective_compare,88.6,80.4,85.8,81.4,95.4,87.93,overstates_certainty,5.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,preference_configured,92.8,84.4,95.4,88.0,96.2,92.3,,5.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,raw_model,94.2,91.0,99.2,90.6,96.4,94.66,,3.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_primary_003_scripture_authority,primary,creedal,guided_default,83.0,87.4,86.8,78.4,,84.04,flattens_disagreement,23.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_primary_003_scripture_authority,primary,creedal,perspective_compare,60.8,69.0,75.6,70.8,,65.91,hallucinated_source_claim,36.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_primary_003_scripture_authority,primary,creedal,preference_configured,85.6,84.4,83.8,72.4,,83.11,flattens_disagreement;overstates_certainty,12.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_primary_003_scripture_authority,primary,creedal,raw_model,84.2,90.4,90.8,75.8,,85.44,flattens_disagreement,16.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_tertiary_001_millennium,tertiary,comparative,guided_default,90.8,84.8,98.0,93.4,,91.06,,3.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_tertiary_001_millennium,tertiary,comparative,perspective_compare,89.8,82.2,97.2,92.6,,89.76,,3.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_tertiary_001_millennium,tertiary,comparative,preference_configured,91.8,86.6,98.2,95.0,,92.42,,3.0
deepseek_deepseek-v4-pro_latest,deepseek/deepseek-v4-pro,tf_tertiary_001_millennium,tertiary,comparative,raw_model,90.8,86.0,98.0,93.4,,91.36,,3.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,ch_002_eucharist,secondary,comparative,guided_default,80.4,72.6,92.2,81.2,,79.87,verse_context_misuse,12.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,ch_002_eucharist,secondary,comparative,perspective_compare,75.6,62.8,92.8,75.2,,73.68,denominational_overclaiming;overstates_certainty;verse_context_misuse,8.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,ch_002_eucharist,secondary,comparative,preference_configured,79.2,71.0,93.2,78.8,,78.04,denominational_overclaiming;overstates_certainty,14.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,ch_002_eucharist,secondary,comparative,raw_model,75.2,70.8,93.2,72.8,,73.9,denominational_overclaiming;overstates_certainty,6.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,ee_002_abuse_disclosure,pastoral_application,pastoral,guided_default,94.6,92.2,93.6,92.6,97.6,95.49,,1.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,ee_002_abuse_disclosure,pastoral_application,pastoral,perspective_compare,92.8,85.8,96.4,83.6,95.2,92.21,overstates_certainty,4.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,ee_002_abuse_disclosure,pastoral_application,pastoral,preference_configured,95.4,94.0,95.4,92.2,95.4,94.87,,2.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,ee_002_abuse_disclosure,pastoral_application,pastoral,raw_model,94.6,93.8,94.4,92.2,93.2,93.53,,3.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_002,pastoral_application,pastoral,guided_default,92.6,83.6,95.4,80.0,97.2,91.02,denominational_overclaiming;flattens_disagreement,3.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_002,pastoral_application,pastoral,perspective_compare,86.6,79.2,80.6,81.8,97.2,87.35,overstates_certainty,8.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_002,pastoral_application,pastoral,preference_configured,89.0,80.4,84.0,75.6,96.0,87.3,denominational_overclaiming;overstates_certainty,2.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_002,pastoral_application,pastoral,raw_model,85.0,75.2,92.0,70.8,90.6,83.78,denominational_overclaiming;flattens_disagreement;unhelpful_genericity,12.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_006,pastoral_application,pastoral,guided_default,84.6,90.2,82.6,89.2,92.8,88.39,,2.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_006,pastoral_application,pastoral,perspective_compare,79.6,79.8,75.0,82.4,91.0,83.01,,14.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_006,pastoral_application,pastoral,preference_configured,80.8,86.8,59.8,63.0,89.6,79.57,answers_from_wrong_tradition,16.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_006,pastoral_application,pastoral,raw_model,83.2,82.0,85.2,90.4,61.4,77.76,missed_escalation,4.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_010,pastoral_application,pastoral,guided_default,82.0,88.4,79.2,75.6,,81.26,answers_from_wrong_tradition,8.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_010,pastoral_application,pastoral,perspective_compare,72.0,79.0,88.0,83.4,,78.65,unhelpful_genericity,6.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_010,pastoral_application,pastoral,preference_configured,85.8,89.0,85.0,81.2,,85.17,,8.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_010,pastoral_application,pastoral,raw_model,83.6,87.6,87.4,78.4,,83.67,,14.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_014,pastoral_application,pastoral,guided_default,89.6,90.4,95.4,91.6,94.6,92.1,,9.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_014,pastoral_application,pastoral,perspective_compare,83.4,81.2,92.0,68.8,92.4,84.44,overstates_certainty,11.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_014,pastoral_application,pastoral,preference_configured,82.4,82.8,77.6,83.8,89.2,84.23,,16.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_014,pastoral_application,pastoral,raw_model,80.8,90.8,95.2,91.2,73.2,83.02,,16.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_018,pastoral_application,pastoral,guided_default,79.8,87.8,81.4,89.6,93.8,86.83,,24.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_018,pastoral_application,pastoral,perspective_compare,73.6,65.4,86.0,65.2,91.2,77.63,denominational_overclaiming;hallucinated_source_claim,6.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_018,pastoral_application,pastoral,preference_configured,85.6,84.4,94.2,82.4,94.2,88.38,,8.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_018,pastoral_application,pastoral,raw_model,81.0,81.6,90.6,86.0,63.6,77.58,missed_escalation,19.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_022,pastoral_application,pastoral,guided_default,87.8,81.2,91.6,88.4,,87.2,,7.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_022,pastoral_application,pastoral,perspective_compare,77.6,75.6,84.6,82.6,,79.5,verse_context_misuse,10.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_022,pastoral_application,pastoral,preference_configured,88.4,84.8,83.6,79.0,,84.61,,7.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_pastoral_022,pastoral_application,pastoral,raw_model,81.2,81.6,78.2,70.8,,78.23,flattens_disagreement;unhelpful_genericity,10.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_002,primary,creedal,guided_default,92.6,94.0,88.0,90.6,,92.56,,5.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_002,primary,creedal,perspective_compare,75.2,70.8,77.2,58.4,,71.24,flattens_disagreement;hallucinated_theology,12.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_002,primary,creedal,preference_configured,94.2,93.2,88.8,90.8,,93.07,,2.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_002,primary,creedal,raw_model,93.0,92.6,93.4,90.8,,92.55,,5.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_006,primary,creedal,guided_default,51.2,60.2,73.2,65.6,,57.61,relativizes_primary_doctrine;unhelpful_genericity,34.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_006,primary,creedal,perspective_compare,44.4,52.4,70.2,62.0,,51.13,denominational_overclaiming;relativizes_primary_doctrine;unhelpful_genericity,20.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_006,primary,creedal,preference_configured,66.4,75.2,72.0,77.0,,71.35,relativizes_primary_doctrine,38.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_006,primary,creedal,raw_model,76.8,72.6,82.4,80.6,,76.18,unhelpful_genericity,14.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_010,primary,creedal,guided_default,93.0,94.0,94.4,91.2,,93.15,,4.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_010,primary,creedal,perspective_compare,85.2,77.6,93.0,82.6,,82.54,,9.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_010,primary,creedal,preference_configured,96.0,93.4,96.8,91.4,,94.44,,3.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_010,primary,creedal,raw_model,95.2,93.8,99.2,91.0,,94.28,,2.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_014,primary,creedal,guided_default,93.8,90.8,92.2,92.4,,92.46,,2.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_014,primary,creedal,perspective_compare,81.8,74.8,90.6,75.0,,78.77,,13.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_014,primary,creedal,preference_configured,92.2,87.6,94.0,90.2,,90.38,,5.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_014,primary,creedal,raw_model,93.4,91.0,96.2,91.6,,92.43,,3.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_018,primary,creedal,guided_default,49.6,80.4,74.0,75.0,,65.41,relativizes_primary_doctrine;unhelpful_genericity,24.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_018,primary,creedal,perspective_compare,53.2,76.4,75.8,76.2,,65.9,relativizes_primary_doctrine,32.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_018,primary,creedal,preference_configured,89.6,90.0,92.4,87.0,,89.49,,1.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_primary_018,primary,creedal,raw_model,74.4,86.0,92.0,81.2,,80.36,relativizes_primary_doctrine;unhelpful_genericity,12.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_001,secondary,comparative,guided_default,81.6,75.6,92.4,84.4,,82.82,,14.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_001,secondary,comparative,perspective_compare,83.6,73.2,93.4,83.0,,82.84,denominational_overclaiming;overstates_certainty,10.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_001,secondary,comparative,preference_configured,83.8,71.2,92.0,84.8,,82.49,denominational_overclaiming;overstates_certainty,17.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_001,secondary,comparative,raw_model,79.8,72.0,92.2,81.4,,80.65,denominational_overclaiming,16.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_005,secondary,comparative,guided_default,81.8,84.0,86.8,85.6,,84.11,,25.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_005,secondary,comparative,perspective_compare,83.8,80.6,92.6,85.4,,85.08,,19.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_005,secondary,comparative,preference_configured,84.0,78.4,84.8,86.2,,83.2,,12.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_005,secondary,comparative,raw_model,83.4,85.0,89.2,87.2,,85.72,,16.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_009,secondary,comparative,guided_default,87.2,88.2,92.8,86.6,,88.45,,8.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_009,secondary,comparative,perspective_compare,86.4,84.0,92.6,85.8,,86.92,,8.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_009,secondary,comparative,preference_configured,89.4,89.2,92.8,89.8,,90.11,,3.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_009,secondary,comparative,raw_model,90.2,90.4,94.8,90.4,,91.21,,5.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_013,secondary,comparative,guided_default,79.6,77.0,93.0,74.4,,80.59,collapses_secondary_disagreement;flattens_disagreement,12.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_013,secondary,comparative,perspective_compare,84.8,78.4,93.0,85.6,,85.0,overstates_certainty,6.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_013,secondary,comparative,preference_configured,86.0,82.4,92.4,87.2,,86.62,,6.0
google_gemini-3.1-pro-preview_latest,google/gemini-3.1-pro-preview,fmg_secondary_013,secondary,comparative,raw_model,83.8,79.2,94.8,84.4,,84.97,,8.0
